simulationId,generatedAt,findingId,pathId,scenarioId,title,sourceNode,targetNode,orderedPath,orderedEdges,pathLength,likelihood,impact,riskScore,severity,baseline,residual,controlsRelevant,controlsApplied,blocked,blockedAt,outcome,controlEffects,explanation,recommendation,edgeDetails,baselineLikelihood,baselineImpact,baselineRiskScore,baselineSeverity,residualLikelihood,residualImpact,residualRiskScore,residualSeverity,controlReasons
SITAS-RUN-a38215aecc07a7e479deda07,2026-09-10T15:13:41.428420+00:00,SITAS-F-4172d5ddb137866d,SITAS-AP-45aae794966a46d6,scenario_01,Stolen worker password,attacker_external,asset_care_records,"[""attacker_external"",""credential_worker"",""identity_worker"",""app_care"",""asset_care_records""]","[""edge_worker_password_acquired"",""edge_worker_password_login"",""edge_worker_care_portal"",""edge_care_records_access""]",4,4,5,20,Critical,"{""impact"":5,""likelihood"":4,""riskScore"":20,""severity"":""Critical""}",null,"[""mfa""]","[""mfa""]",true,"[""edge_worker_password_login""]",blocked,"[{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":4,""controlId"":""mfa"",""edgeId"":""edge_worker_password_login"",""reason"":""Require an additional authentication factor for a password-only transition."",""ruleId"":""mfa_block_password_only""}]",The simulated path is blocked at edge_worker_password_login. mfa/mfa_block_password_only at edge_worker_password_login: Require an additional authentication factor for a password-only transition.,Apply MFA to password-based access and verify that password-only transitions are removed.,"[{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_worker_password_acquired"",""explanation"":""Assume the fictional attacker already holds a worker-password reference; no password or acquisition procedure is represented."",""relationship"":""holds_credential_reference"",""source"":""attacker_external"",""target"":""credential_worker""},{""baselineLikelihood"":4,""controlledLikelihood"":null,""edgeId"":""edge_worker_password_login"",""explanation"":""The synthetic login accepts the password alone unless MFA blocks this transition."",""relationship"":""authenticates_as"",""source"":""credential_worker"",""target"":""identity_worker""},{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_worker_care_portal"",""explanation"":""An authenticated care worker has ordinary access to the fictional care portal."",""relationship"":""has_application_access"",""source"":""identity_worker"",""target"":""app_care""},{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_care_records_access"",""explanation"":""The fictional care portal exposes the synthetic care-record dataset to its permitted identity."",""relationship"":""can_read_dataset"",""source"":""app_care"",""target"":""asset_care_records""}]",4,5,20,Critical,,,,,"[""Require an additional authentication factor for a password-only transition.""]"
SITAS-RUN-a38215aecc07a7e479deda07,2026-09-10T15:13:41.428420+00:00,SITAS-F-4f7279589bd5e119,SITAS-AP-4b4e406f3b7d682a,scenario_02,Shared workstation session exposure,actor_local,asset_medication_records,"[""actor_local"",""workstation_shared"",""session_stale"",""identity_shared"",""app_medication"",""asset_medication_records""]","[""edge_local_shared_workstation"",""edge_workstation_stale_session"",""edge_stale_shared_identity"",""edge_shared_medication_access"",""edge_medication_records_access""]",5,4,4,16,High,"{""impact"":4,""likelihood"":4,""riskScore"":16,""severity"":""High""}",null,"[""individual_accounts"",""session_timeout""]","[""individual_accounts"",""session_timeout""]",true,"[""edge_workstation_stale_session"",""edge_stale_shared_identity""]",blocked,"[{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":4,""controlId"":""individual_accounts"",""edgeId"":""edge_stale_shared_identity"",""reason"":""Replace shared-account access with individual identities, removing this modelled shared-account transition."",""ruleId"":""remove_shared_account""},{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":4,""controlId"":""session_timeout"",""edgeId"":""edge_workstation_stale_session"",""reason"":""Expire a stale idle session; the rule does not match active-session tags."",""ruleId"":""timeout_idle_session""}]","The simulated path is blocked at edge_workstation_stale_session, edge_stale_shared_identity. individual_accounts/remove_shared_account at edge_stale_shared_identity: Replace shared-account access with individual identities, removing this modelled shared-account transition. session_timeout/timeout_idle_session at edge_workstation_stale_session: Expire a stale idle session; the rule does not match active-session tags.",Combine idle timeout with individual accounts; freshly active shared sessions remain after timeout alone.,"[{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_local_shared_workstation"",""explanation"":""Assume the fictional local actor can physically use the shared workstation; device acquisition is outside this model."",""relationship"":""can_use_device"",""source"":""actor_local"",""target"":""workstation_shared""},{""baselineLikelihood"":4,""controlledLikelihood"":null,""edgeId"":""edge_workstation_stale_session"",""explanation"":""A previously authenticated idle session remains available; the timeout rule removes this stale-session transition."",""relationship"":""retains_idle_session"",""source"":""workstation_shared"",""target"":""session_stale""},{""baselineLikelihood"":4,""controlledLikelihood"":null,""edgeId"":""edge_stale_shared_identity"",""explanation"":""The stale workstation session uses a shared account; individual-account enforcement removes this shared-account route."",""relationship"":""acts_as_shared_identity"",""source"":""session_stale"",""target"":""identity_shared""},{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_shared_medication_access"",""explanation"":""The fictional shared identity has application access under the scenario assumptions."",""relationship"":""has_application_access"",""source"":""identity_shared"",""target"":""app_medication""},{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_medication_records_access"",""explanation"":""The fictional medication application exposes only the synthetic target dataset in this model."",""relationship"":""can_read_dataset"",""source"":""app_medication"",""target"":""asset_medication_records""}]",4,4,16,High,,,,,"[""Replace shared-account access with individual identities, removing this modelled shared-account transition."",""Expire a stale idle session; the rule does not match active-session tags.""]"
SITAS-RUN-a38215aecc07a7e479deda07,2026-09-10T15:13:41.428420+00:00,SITAS-F-de0ddfd36acd7c33,SITAS-AP-02d979b00e6606d8,scenario_02,Shared workstation session exposure,actor_local,asset_medication_records,"[""actor_local"",""workstation_shared"",""session_fresh"",""identity_shared"",""app_medication"",""asset_medication_records""]","[""edge_local_shared_workstation"",""edge_workstation_fresh_session"",""edge_fresh_shared_identity"",""edge_shared_medication_access"",""edge_medication_records_access""]",5,3,4,12,High,"{""impact"":4,""likelihood"":3,""riskScore"":12,""severity"":""High""}",null,"[""individual_accounts""]","[""individual_accounts""]",true,"[""edge_fresh_shared_identity""]",blocked,"[{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":4,""controlId"":""individual_accounts"",""edgeId"":""edge_fresh_shared_identity"",""reason"":""Replace shared-account access with individual identities, removing this modelled shared-account transition."",""ruleId"":""remove_shared_account""}]","The simulated path is blocked at edge_fresh_shared_identity. individual_accounts/remove_shared_account at edge_fresh_shared_identity: Replace shared-account access with individual identities, removing this modelled shared-account transition.",Combine idle timeout with individual accounts; freshly active shared sessions remain after timeout alone.,"[{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_local_shared_workstation"",""explanation"":""Assume the fictional local actor can physically use the shared workstation; device acquisition is outside this model."",""relationship"":""can_use_device"",""source"":""actor_local"",""target"":""workstation_shared""},{""baselineLikelihood"":3,""controlledLikelihood"":3,""edgeId"":""edge_workstation_fresh_session"",""explanation"":""Alternative precondition: the workstation session is freshly active and has not reached the idle timeout; timeout alone leaves it available."",""relationship"":""retains_active_session"",""source"":""workstation_shared"",""target"":""session_fresh""},{""baselineLikelihood"":4,""controlledLikelihood"":null,""edgeId"":""edge_fresh_shared_identity"",""explanation"":""The active workstation session still uses a shared account; removing shared accounts blocks this separate route."",""relationship"":""acts_as_shared_identity"",""source"":""session_fresh"",""target"":""identity_shared""},{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_shared_medication_access"",""explanation"":""The fictional shared identity has application access under the scenario assumptions."",""relationship"":""has_application_access"",""source"":""identity_shared"",""target"":""app_medication""},{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_medication_records_access"",""explanation"":""The fictional medication application exposes only the synthetic target dataset in this model."",""relationship"":""can_read_dataset"",""source"":""app_medication"",""target"":""asset_medication_records""}]",3,4,12,High,,,,,"[""Replace shared-account access with individual identities, removing this modelled shared-account transition.""]"
SITAS-RUN-a38215aecc07a7e479deda07,2026-09-10T15:13:41.428420+00:00,SITAS-F-440d60d42c55ef14,SITAS-AP-71b8835d5c822174,scenario_03,Former worker identity remains enabled,attacker_external,asset_medication_records,"[""attacker_external"",""identity_former"",""app_medication"",""asset_medication_records""]","[""edge_former_identity_reuse"",""edge_former_medication_access"",""edge_medication_records_access""]",3,4,4,16,High,"{""impact"":4,""likelihood"":4,""riskScore"":16,""severity"":""High""}",null,"[""account_disablement""]","[""account_disablement""]",true,"[""edge_former_identity_reuse""]",blocked,"[{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":4,""controlId"":""account_disablement"",""edgeId"":""edge_former_identity_reuse"",""reason"":""Disable a former worker identity that should no longer be active."",""ruleId"":""disable_stale_identity""}]",The simulated path is blocked at edge_former_identity_reuse. account_disablement/disable_stale_identity at edge_former_identity_reuse: Disable a former worker identity that should no longer be active.,Disable former worker identities promptly and review retained entitlements.,"[{""baselineLikelihood"":4,""controlledLikelihood"":null,""edgeId"":""edge_former_identity_reuse"",""explanation"":""Assume the former worker identity remains enabled and accessible to the fictional actor; account disablement removes this stale-identity route."",""relationship"":""reuses_retained_identity"",""source"":""attacker_external"",""target"":""identity_former""},{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_former_medication_access"",""explanation"":""The former identity retains its medication-application entitlement until the account is disabled."",""relationship"":""retains_application_access"",""source"":""identity_former"",""target"":""app_medication""},{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_medication_records_access"",""explanation"":""The fictional medication application exposes only the synthetic target dataset in this model."",""relationship"":""can_read_dataset"",""source"":""app_medication"",""target"":""asset_medication_records""}]",4,4,16,High,,,,,"[""Disable a former worker identity that should no longer be active.""]"
SITAS-RUN-a38215aecc07a7e479deda07,2026-09-10T15:13:41.428420+00:00,SITAS-F-3ed2805e613d8acd,SITAS-AP-c8453ccbc4b8cf97,scenario_04,Excessive staff privilege,actor_internal,asset_payroll_records,"[""actor_internal"",""identity_worker"",""privilege_excessive"",""app_admin"",""asset_payroll_records""]","[""edge_internal_worker_identity"",""edge_worker_excessive_role"",""edge_excessive_admin_console"",""edge_admin_payroll_access""]",4,4,5,20,Critical,"{""impact"":5,""likelihood"":4,""riskScore"":20,""severity"":""Critical""}",null,"[""privileged_reauthentication"",""rbac""]","[""privileged_reauthentication"",""rbac""]",true,"[""edge_worker_excessive_role""]",blocked,"[{""action"":""cap"",""afterLikelihood"":2,""beforeLikelihood"":4,""controlId"":""privileged_reauthentication"",""edgeId"":""edge_excessive_admin_console"",""reason"":""A fresh authentication requirement reduces the modelled likelihood of the privileged operation."",""ruleId"":""reauthenticate_privileged_operation""},{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":4,""controlId"":""rbac"",""edgeId"":""edge_worker_excessive_role"",""reason"":""Remove excessive or incorrectly assigned privileges from the synthetic identity."",""ruleId"":""rbac_remove_excessive_role""}]",The simulated path is blocked at edge_worker_excessive_role. privileged_reauthentication/reauthenticate_privileged_operation at edge_excessive_admin_console: A fresh authentication requirement reduces the modelled likelihood of the privileged operation. rbac/rbac_remove_excessive_role at edge_worker_excessive_role: Remove excessive or incorrectly assigned privileges from the synthetic identity.,Enforce job-appropriate RBAC and require reauthentication for privileged operations.,"[{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_internal_worker_identity"",""explanation"":""The internal actor already controls their valid worker identity; normal authentication is a scenario precondition."",""relationship"":""uses_assigned_identity"",""source"":""actor_internal"",""target"":""identity_worker""},{""baselineLikelihood"":4,""controlledLikelihood"":null,""edgeId"":""edge_worker_excessive_role"",""explanation"":""The worker has a privilege beyond their job need; the RBAC rule removes this excessive entitlement."",""relationship"":""receives_excessive_privilege"",""source"":""identity_worker"",""target"":""privilege_excessive""},{""baselineLikelihood"":4,""controlledLikelihood"":2,""edgeId"":""edge_excessive_admin_console"",""explanation"":""The excessive entitlement permits a privileged console operation; reauthentication caps its ordinal likelihood."",""relationship"":""permits_privileged_operation"",""source"":""privilege_excessive"",""target"":""app_admin""},{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_admin_payroll_access"",""explanation"":""The fictional privileged console can access the synthetic payroll dataset."",""relationship"":""can_read_sensitive_dataset"",""source"":""app_admin"",""target"":""asset_payroll_records""}]",4,5,20,Critical,,,,,"[""A fresh authentication requirement reduces the modelled likelihood of the privileged operation."",""Remove excessive or incorrectly assigned privileges from the synthetic identity.""]"
SITAS-RUN-a38215aecc07a7e479deda07,2026-09-10T15:13:41.428420+00:00,SITAS-F-94ad8296f2bb911f,SITAS-AP-d3e90be67bacef1a,scenario_05,Administrator password theft with active-session alternative,attacker_external,asset_identity_store,"[""attacker_external"",""credential_admin"",""identity_admin"",""privilege_unrestricted_admin"",""app_admin"",""asset_identity_store""]","[""edge_admin_password_acquired"",""edge_admin_password_login"",""edge_admin_unrestricted_role"",""edge_unrestricted_admin_console"",""edge_console_identity_store""]",5,4,5,20,Critical,"{""impact"":5,""likelihood"":4,""riskScore"":20,""severity"":""Critical""}",null,"[""admin_restriction"",""mfa"",""privileged_reauthentication""]","[""admin_restriction"",""mfa"",""privileged_reauthentication""]",true,"[""edge_admin_password_login"",""edge_admin_unrestricted_role""]",blocked,"[{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":4,""controlId"":""mfa"",""edgeId"":""edge_admin_password_login"",""reason"":""Require an additional authentication factor for a password-only transition."",""ruleId"":""mfa_block_password_only""},{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":4,""controlId"":""admin_restriction"",""edgeId"":""edge_admin_unrestricted_role"",""reason"":""Remove unrestricted administrator authority from this synthetic transition."",""ruleId"":""restrict_unrestricted_admin""},{""action"":""cap"",""afterLikelihood"":2,""beforeLikelihood"":4,""controlId"":""privileged_reauthentication"",""edgeId"":""edge_console_identity_store"",""reason"":""A fresh authentication requirement reduces the modelled likelihood of the privileged operation."",""ruleId"":""reauthenticate_privileged_operation""},{""action"":""cap"",""afterLikelihood"":2,""beforeLikelihood"":4,""controlId"":""privileged_reauthentication"",""edgeId"":""edge_unrestricted_admin_console"",""reason"":""A fresh authentication requirement reduces the modelled likelihood of the privileged operation."",""ruleId"":""reauthenticate_privileged_operation""}]","The simulated path is blocked at edge_admin_password_login, edge_admin_unrestricted_role. mfa/mfa_block_password_only at edge_admin_password_login: Require an additional authentication factor for a password-only transition. admin_restriction/restrict_unrestricted_admin at edge_admin_unrestricted_role: Remove unrestricted administrator authority from this synthetic transition. privileged_reauthentication/reauthenticate_privileged_operation at edge_console_identity_store: A fresh authentication requirement reduces the modelled likelihood of the privileged operation. privileged_reauthentication/reauthenticate_privileged_operation at edge_unrestricted_admin_console: A fresh authentication requirement reduces the modelled likelihood of the privileged operation.","Combine MFA, administrator restriction, session revocation and privileged reauthentication; test the authenticated-session alternative explicitly.","[{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_admin_password_acquired"",""explanation"":""Assume the fictional attacker holds an administrator-password reference; it contains no usable secret."",""relationship"":""holds_credential_reference"",""source"":""attacker_external"",""target"":""credential_admin""},{""baselineLikelihood"":4,""controlledLikelihood"":null,""edgeId"":""edge_admin_password_login"",""explanation"":""The password-based administrator login is blocked by MFA in this simplified control model."",""relationship"":""authenticates_as"",""source"":""credential_admin"",""target"":""identity_admin""},{""baselineLikelihood"":4,""controlledLikelihood"":null,""edgeId"":""edge_admin_unrestricted_role"",""explanation"":""The administrator has an unrestricted privilege; the administrator-restriction rule removes this route."",""relationship"":""holds_unrestricted_privilege"",""source"":""identity_admin"",""target"":""privilege_unrestricted_admin""},{""baselineLikelihood"":4,""controlledLikelihood"":2,""edgeId"":""edge_unrestricted_admin_console"",""explanation"":""The unrestricted privilege enables a console operation unless restricted or interrupted by stronger authentication."",""relationship"":""permits_privileged_operation"",""source"":""privilege_unrestricted_admin"",""target"":""app_admin""},{""baselineLikelihood"":4,""controlledLikelihood"":2,""edgeId"":""edge_console_identity_store"",""explanation"":""A privileged console operation affects the synthetic identity-configuration dataset; reauthentication caps this transition."",""relationship"":""performs_privileged_change"",""source"":""app_admin"",""target"":""asset_identity_store""}]",4,5,20,Critical,,,,,"[""Require an additional authentication factor for a password-only transition."",""Remove unrestricted administrator authority from this synthetic transition."",""A fresh authentication requirement reduces the modelled likelihood of the privileged operation."",""A fresh authentication requirement reduces the modelled likelihood of the privileged operation.""]"
SITAS-RUN-a38215aecc07a7e479deda07,2026-09-10T15:13:41.428420+00:00,SITAS-F-5058b50ebca384db,SITAS-AP-0207711919ba3544,scenario_05,Administrator password theft with active-session alternative,attacker_external,asset_identity_store,"[""attacker_external"",""session_admin"",""app_admin"",""asset_identity_store""]","[""edge_stolen_admin_session"",""edge_admin_session_console"",""edge_console_identity_store""]",3,3,5,15,High,"{""impact"":5,""likelihood"":3,""riskScore"":15,""severity"":""High""}",null,"[""privileged_reauthentication"",""session_revocation""]","[""privileged_reauthentication"",""session_revocation""]",true,"[""edge_stolen_admin_session"",""edge_admin_session_console""]",blocked,"[{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":4,""controlId"":""session_revocation"",""edgeId"":""edge_admin_session_console"",""reason"":""Invalidate the referenced authenticated session so token reuse no longer provides a route."",""ruleId"":""revoke_session_token""},{""action"":""cap"",""afterLikelihood"":2,""beforeLikelihood"":4,""controlId"":""privileged_reauthentication"",""edgeId"":""edge_console_identity_store"",""reason"":""A fresh authentication requirement reduces the modelled likelihood of the privileged operation."",""ruleId"":""reauthenticate_privileged_operation""},{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":3,""controlId"":""session_revocation"",""edgeId"":""edge_stolen_admin_session"",""reason"":""Invalidate the referenced authenticated session so token reuse no longer provides a route."",""ruleId"":""revoke_session_token""}]","The simulated path is blocked at edge_stolen_admin_session, edge_admin_session_console. session_revocation/revoke_session_token at edge_admin_session_console: Invalidate the referenced authenticated session so token reuse no longer provides a route. privileged_reauthentication/reauthenticate_privileged_operation at edge_console_identity_store: A fresh authentication requirement reduces the modelled likelihood of the privileged operation. session_revocation/revoke_session_token at edge_stolen_admin_session: Invalidate the referenced authenticated session so token reuse no longer provides a route.","Combine MFA, administrator restriction, session revocation and privileged reauthentication; test the authenticated-session alternative explicitly.","[{""baselineLikelihood"":3,""controlledLikelihood"":null,""edgeId"":""edge_stolen_admin_session"",""explanation"":""Alternative precondition: an already authenticated administrator session is available; password MFA alone does not invalidate it."",""relationship"":""holds_active_session_reference"",""source"":""attacker_external"",""target"":""session_admin""},{""baselineLikelihood"":4,""controlledLikelihood"":null,""edgeId"":""edge_admin_session_console"",""explanation"":""The active administrator session already carries console authority; revocation removes it, while an idle timeout has not yet elapsed."",""relationship"":""reuses_authenticated_session"",""source"":""session_admin"",""target"":""app_admin""},{""baselineLikelihood"":4,""controlledLikelihood"":2,""edgeId"":""edge_console_identity_store"",""explanation"":""A privileged console operation affects the synthetic identity-configuration dataset; reauthentication caps this transition."",""relationship"":""performs_privileged_change"",""source"":""app_admin"",""target"":""asset_identity_store""}]",3,5,15,High,,,,,"[""Invalidate the referenced authenticated session so token reuse no longer provides a route."",""A fresh authentication requirement reduces the modelled likelihood of the privileged operation."",""Invalidate the referenced authenticated session so token reuse no longer provides a route.""]"
SITAS-RUN-a38215aecc07a7e479deda07,2026-09-10T15:13:41.428420+00:00,SITAS-F-6be7c8aa65d2e13e,SITAS-AP-84a533bd71aef5b1,scenario_06,MFA social-engineering approval,attacker_external,asset_staff_roster,"[""attacker_external"",""credential_social"",""factor_mfa"",""identity_worker"",""app_roster"",""asset_staff_roster""]","[""edge_social_password_acquired"",""edge_social_mfa_approval"",""edge_mfa_worker_identity"",""edge_worker_roster_access"",""edge_staff_roster_access""]",5,4,4,16,High,"{""impact"":4,""likelihood"":4,""riskScore"":16,""severity"":""High""}","{""impact"":4,""likelihood"":2,""riskScore"":8,""severity"":""Medium""}","[""mfa""]","[""mfa""]",false,[],reduced,"[{""action"":""cap"",""afterLikelihood"":2,""beforeLikelihood"":4,""controlId"":""mfa"",""edgeId"":""edge_social_mfa_approval"",""reason"":""Additional authentication reduces this assumed human-mediated route without claiming complete prevention."",""ruleId"":""mfa_cap_social_approval""}]",The path remains; ordinal risk decreases from 16 to 8. mfa/mfa_cap_social_approval at edge_social_mfa_approval: Additional authentication reduces this assumed human-mediated route without claiming complete prevention.,Review MFA approval practices and strengthen verification; the model deliberately retains reduced residual risk.,"[{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_social_password_acquired"",""explanation"":""Assume a synthetic worker-password reference is already exposed; completing MFA remains an additional prerequisite."",""relationship"":""holds_credential_reference"",""source"":""attacker_external"",""target"":""credential_social""},{""baselineLikelihood"":4,""controlledLikelihood"":2,""edgeId"":""edge_social_mfa_approval"",""explanation"":""Assume the fictional user approves an attacker-initiated MFA event; the MFA control reduces but does not eliminate this explicitly modelled human-mediated route."",""relationship"":""obtains_assumed_mfa_approval"",""source"":""credential_social"",""target"":""factor_mfa""},{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_mfa_worker_identity"",""explanation"":""An approved synthetic MFA event completes authentication; this route is deliberately distinct from password-only access."",""relationship"":""completes_authentication"",""source"":""factor_mfa"",""target"":""identity_worker""},{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_worker_roster_access"",""explanation"":""The authenticated worker normally has access to the fictional roster portal."",""relationship"":""has_application_access"",""source"":""identity_worker"",""target"":""app_roster""},{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_staff_roster_access"",""explanation"":""The roster portal exposes the synthetic staff roster dataset to the authorised identity."",""relationship"":""can_read_dataset"",""source"":""app_roster"",""target"":""asset_staff_roster""}]",4,4,16,High,2,4,8,Medium,"[""Additional authentication reduces this assumed human-mediated route without claiming complete prevention.""]"
SITAS-RUN-a38215aecc07a7e479deda07,2026-09-10T15:13:41.428420+00:00,SITAS-F-bcc86bfb25b409f2,SITAS-AP-c374ef52c5131950,scenario_07,Session reuse across device contexts,attacker_external,asset_staff_roster,"[""attacker_external"",""session_copied"",""session_cross_device"",""app_roster"",""asset_staff_roster""]","[""edge_copied_staff_session"",""edge_cross_device_reuse"",""edge_cross_device_roster"",""edge_staff_roster_access""]",4,4,4,16,High,"{""impact"":4,""likelihood"":4,""riskScore"":16,""severity"":""High""}",null,"[""device_session_separation"",""session_revocation""]","[""device_session_separation"",""session_revocation""]",true,"[""edge_copied_staff_session"",""edge_cross_device_reuse"",""edge_cross_device_roster""]",blocked,"[{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":4,""controlId"":""session_revocation"",""edgeId"":""edge_copied_staff_session"",""reason"":""Invalidate the referenced authenticated session so token reuse no longer provides a route."",""ruleId"":""revoke_session_token""},{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":4,""controlId"":""device_session_separation"",""edgeId"":""edge_cross_device_reuse"",""reason"":""Reject reuse outside the original device context without claiming to prevent same-device misuse."",""ruleId"":""separate_cross_device_session""},{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":4,""controlId"":""session_revocation"",""edgeId"":""edge_cross_device_roster"",""reason"":""Invalidate the referenced authenticated session so token reuse no longer provides a route."",""ruleId"":""revoke_session_token""}]","The simulated path is blocked at edge_copied_staff_session, edge_cross_device_reuse, edge_cross_device_roster. session_revocation/revoke_session_token at edge_copied_staff_session: Invalidate the referenced authenticated session so token reuse no longer provides a route. device_session_separation/separate_cross_device_session at edge_cross_device_reuse: Reject reuse outside the original device context without claiming to prevent same-device misuse. session_revocation/revoke_session_token at edge_cross_device_roster: Invalidate the referenced authenticated session so token reuse no longer provides a route.",Revoke exposed sessions and restrict device context; device separation alone does not prevent original-device reuse.,"[{""baselineLikelihood"":4,""controlledLikelihood"":null,""edgeId"":""edge_copied_staff_session"",""explanation"":""Assume an active synthetic staff-session reference is available; no real token or token-capture method is included."",""relationship"":""holds_active_session_reference"",""source"":""attacker_external"",""target"":""session_copied""},{""baselineLikelihood"":4,""controlledLikelihood"":null,""edgeId"":""edge_cross_device_reuse"",""explanation"":""The copied session is accepted on a different device; device-session separation removes this cross-device route."",""relationship"":""reuses_session_on_other_device"",""source"":""session_copied"",""target"":""session_cross_device""},{""baselineLikelihood"":4,""controlledLikelihood"":null,""edgeId"":""edge_cross_device_roster"",""explanation"":""The cross-device session is active and authenticated, so fresh-session revocation is needed to invalidate it."",""relationship"":""uses_authenticated_session"",""source"":""session_cross_device"",""target"":""app_roster""},{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_staff_roster_access"",""explanation"":""The roster portal exposes the synthetic staff roster dataset to the authorised identity."",""relationship"":""can_read_dataset"",""source"":""app_roster"",""target"":""asset_staff_roster""}]",4,4,16,High,,,,,"[""Invalidate the referenced authenticated session so token reuse no longer provides a route."",""Reject reuse outside the original device context without claiming to prevent same-device misuse."",""Invalidate the referenced authenticated session so token reuse no longer provides a route.""]"
SITAS-RUN-a38215aecc07a7e479deda07,2026-09-10T15:13:41.428420+00:00,SITAS-F-31c67e5a16f5ed63,SITAS-AP-a4c33a0871f101ba,scenario_07,Session reuse across device contexts,attacker_external,asset_staff_roster,"[""attacker_external"",""session_copied"",""session_same_device"",""app_roster"",""asset_staff_roster""]","[""edge_copied_staff_session"",""edge_same_device_reuse"",""edge_same_device_roster"",""edge_staff_roster_access""]",4,3,4,12,High,"{""impact"":4,""likelihood"":3,""riskScore"":12,""severity"":""High""}",null,"[""session_revocation""]","[""session_revocation""]",true,"[""edge_copied_staff_session"",""edge_same_device_roster""]",blocked,"[{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":4,""controlId"":""session_revocation"",""edgeId"":""edge_copied_staff_session"",""reason"":""Invalidate the referenced authenticated session so token reuse no longer provides a route."",""ruleId"":""revoke_session_token""},{""action"":""block"",""afterLikelihood"":null,""beforeLikelihood"":4,""controlId"":""session_revocation"",""edgeId"":""edge_same_device_roster"",""reason"":""Invalidate the referenced authenticated session so token reuse no longer provides a route."",""ruleId"":""revoke_session_token""}]","The simulated path is blocked at edge_copied_staff_session, edge_same_device_roster. session_revocation/revoke_session_token at edge_copied_staff_session: Invalidate the referenced authenticated session so token reuse no longer provides a route. session_revocation/revoke_session_token at edge_same_device_roster: Invalidate the referenced authenticated session so token reuse no longer provides a route.",Revoke exposed sessions and restrict device context; device separation alone does not prevent original-device reuse.,"[{""baselineLikelihood"":4,""controlledLikelihood"":null,""edgeId"":""edge_copied_staff_session"",""explanation"":""Assume an active synthetic staff-session reference is available; no real token or token-capture method is included."",""relationship"":""holds_active_session_reference"",""source"":""attacker_external"",""target"":""session_copied""},{""baselineLikelihood"":3,""controlledLikelihood"":3,""edgeId"":""edge_same_device_reuse"",""explanation"":""Alternative precondition: the actor can use the original authenticated device; device binding alone does not remove same-device reuse."",""relationship"":""reuses_session_on_original_device"",""source"":""session_copied"",""target"":""session_same_device""},{""baselineLikelihood"":4,""controlledLikelihood"":null,""edgeId"":""edge_same_device_roster"",""explanation"":""The same-device session is still active; revocation removes it, whereas password MFA and idle timeout alone do not."",""relationship"":""uses_authenticated_session"",""source"":""session_same_device"",""target"":""app_roster""},{""baselineLikelihood"":4,""controlledLikelihood"":4,""edgeId"":""edge_staff_roster_access"",""explanation"":""The roster portal exposes the synthetic staff roster dataset to the authorised identity."",""relationship"":""can_read_dataset"",""source"":""app_roster"",""target"":""asset_staff_roster""}]",3,4,12,High,,,,,"[""Invalidate the referenced authenticated session so token reuse no longer provides a route."",""Invalidate the referenced authenticated session so token reuse no longer provides a route.""]"
